poll_link_1,poll_link_1/_text,poll_link_1/_title,poll_link_2,poll_link_2/_text,poll_link_2/_title,date_value,year_value,trump_value,carson_value,cruz_value,rubio_value,bush_number,fiorina_value,christie_number,kasich_value,huckabee_value,paul_number,pataki_value,graham_value,santorum_value,spread_value
http://www.publicpolicypolling.com/pdf/2014/PPP_Release_National_314.pdf,PPP (D),,http://www.publicpolicypolling.com/pdf/2014/PPP_Release_National_314.pdf,PPP (D),,3/6 - 3/9,2014,0,0,11,6,15,0,14,0,18,14,0,0,0,Huckabee +3
https://www.documentcloud.org/documents/1016978-mcclatchy-marist-poll-2016-nature-of-the-sample.html,McClatchy/Marist,,https://www.documentcloud.org/documents/1016978-mcclatchy-marist-poll-2016-nature-of-the-sample.html,McClatchy,,2/4 - 2/9,2014,0,0,5,12,8,0,13,1,13,9,0,0,2,Tie
http://www.realclearpolitics.com/docs/2014/CNN_2016_Jan2013.pdf,CNN/ORC,,http://www.realclearpolitics.com/docs/2014/CNN_2016_Jan2013.pdf,CNN/ORC,,1/31 - 2/2,2014,0,0,10,10,9,0,12,0,16,14,0,0,5,Huckabee +2
http://www.publicpolicypolling.com/pdf/2014/PPP_Release_National_129.pdf,PPP (D),,http://www.publicpolicypolling.com/pdf/2014/PPP_Release_National_129.pdf,PPP (D),,1/23 - 1/26,2014,0,0,8,8,14,0,13,0,16,11,0,0,0,Huckabee +2
http://www.washingtonpost.com/page/2010-2019/WashingtonPost/2014/01/30/National-Politics/Polling/question_13046.xml,ABC/Wash Post,,http://www.washingtonpost.com/page/2010-2019/WashingtonPost/2014/01/30/National-Politics/Polling/question_13046.xml,ABC/WP,,1/20 - 1/23,2014,0,0,12,10,18,0,14,0,0,11,0,0,0,Bush +4
http://www.quinnipiac.edu/institutes-and-centers/polling-institute/national/release-detail?ReleaseID=1998,Quinnipiac,,http://www.quinnipiac.edu/institutes-and-centers/polling-institute/national/release-detail?ReleaseID=1998,Quinnipiac,,1/15 - 1/19,2014,0,0,9,8,11,0,12,2,0,13,0,0,0,Paul +1
http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/_Today_Stories_Teases/ChristiePoll.pdf,NBC/Marist,,http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/_Today_Stories_Teases/ChristiePoll.pdf,NBC/Marist,,1/12 - 1/14,2014,0,0,5,7,8,0,16,0,0,9,0,0,5,Christie +7
http://www.foxnews.com/politics/interactive/2013/12/26/fox-news-poll-clinton-christie-on-top-in-2016-preference-test/,FOX News,,http://www.foxnews.com/politics/interactive/2013/12/26/fox-news-poll-clinton-christie-on-top-in-2016-preference-test/,FOX News,,12/14 - 12/16,2013,0,0,12,8,12,0,16,0,0,11,0,0,3,Christie +4
http://www.publicpolicypolling.com/pdf/2013/PPP_Release_National_1218.pdf,PPP (D),,http://www.publicpolicypolling.com/pdf/2013/PPP_Release_National_1218.pdf,PPP (D),,12/12 - 12/15,2013,0,0,14,7,10,0,19,0,13,11,0,0,0,Christie +5
http://www.quinnipiac.edu/institutes-and-centers/polling-institute/national/release-detail?ReleaseID=1988,Quinnipiac,,http://www.quinnipiac.edu/institutes-and-centers/polling-institute/national/release-detail?ReleaseID=1988,Quinnipiac,,12/3 - 12/9,2013,0,0,13,7,11,0,17,2,0,14,0,0,0,Christie +3
http://www.mcclatchydc.com/2013/12/10/211208/hillary-clinton-dominates-early.html,McClatchy/Marist,,http://www.mcclatchydc.com/2013/12/10/211208/hillary-clinton-dominates-early.html,McClatchy,,12/3 - 12/5,2013,0,0,10,7,10,0,18,0,0,12,0,0,4,Christie +6
http://dyn.realclearpolitics.com/docs/2013/CNN_GOP2016_1129.pdf,CNN/ORC,,http://dyn.realclearpolitics.com/docs/2013/CNN_GOP2016_1129.pdf,CNN/ORC,,11/18 - 11/20,2013,0,0,11,10,5,0,24,0,0,15,0,0,6,Christie +9
http://www.rasmussenreports.com/public_content/politics/elections/election_2016/2016_clinton_still_far_ahead_among_democrats_christie_paul_in_near_tie,Rasmussen,,http://www.rasmussenreports.com/public_content/politics/elections/election_2016/2016_clinton_still_far_ahead_among_democrats_christie_paul_in_near_tie,Rasmussen,,11/7 - 11/8,2013,0,0,12,16,12,0,22,0,0,20,0,0,0,Christie +2
http://www.publicpolicypolling.com/pdf/2013/PPP_Release_US_110513.pdf,PPP (D),,http://www.publicpolicypolling.com/pdf/2013/PPP_Release_US_110513.pdf,PPP (D),,10/29 - 10/31,2013,0,0,15,10,14,0,16,0,0,16,0,0,5,Tie
